Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9895,0.9898,0.9994,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9615,0.9591,0.9958,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9720,0.9730,0.9929,"{'C': 1, 'max_iter': 10000}"
Logistic Regression,4,0.9825,0.9835,0.9988,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9825,0.9832,0.9943,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9685,0.9660,0.9944,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9825,0.9834,0.9957,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9825,0.9825,0.9991,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9755,0.9759,0.9962,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9860,0.9867,0.9998,"{'C': 10, 'max_iter': 10000}"
