Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9790,0.9799,0.9949,0.9799,"{'C': 5, 'max_iter': 5000}"
Random Forest,1,0.9406,0.9391,0.9922,0.9291,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,2,0.9650,0.9660,0.9943,0.9793,"{'C': 5, 'max_iter': 5000}"
Random Forest,2,0.9650,0.9658,0.9955,0.9658,"{'max_depth': 15, 'n_estimators': 150}"
Logistic Regression,3,0.9755,0.9758,0.9959,0.9658,"{'C': 5, 'max_iter': 5000}"
Random Forest,3,0.9650,0.9638,0.9938,0.9779,"{'max_depth': 15, 'n_estimators': 150}"
Logistic Regression,4,0.9825,0.9818,0.9959,0.9783,"{'C': 5, 'max_iter': 5000}"
Random Forest,4,0.9615,0.9603,0.9975,0.9852,"{'max_depth': 5, 'n_estimators': 150}"
Logistic Regression,5,0.9755,0.9742,0.9965,0.9706,"{'C': 5, 'max_iter': 5000}"
Random Forest,5,0.9580,0.9580,0.9896,0.9580,"{'max_depth': 15, 'n_estimators': 100}"
Logistic Regression,6,0.9650,0.9653,0.9972,0.9789,"{'C': 5, 'max_iter': 5000}"
Random Forest,6,0.9720,0.9720,0.9956,0.9858,"{'max_depth': 15, 'n_estimators': 150}"
Logistic Regression,7,0.9825,0.9829,0.9962,0.9796,"{'C': 5, 'max_iter': 5000}"
Random Forest,7,0.9720,0.9724,0.9908,0.9724,"{'max_depth': 15, 'n_estimators': 100}"
Logistic Regression,8,0.9650,0.9662,0.9943,0.9597,"{'C': 5, 'max_iter': 5000}"
Random Forest,8,0.9545,0.9568,0.9933,0.9474,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,9,0.9650,0.9606,0.9935,0.9457,"{'C': 5, 'max_iter': 5000}"
Random Forest,9,0.9685,0.9689,0.9958,0.9589,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,10,0.9615,0.9597,0.9919,0.9291,"{'C': 5, 'max_iter': 5000}"
Random Forest,10,0.9615,0.9617,0.9900,0.9517,"{'max_depth': 15, 'n_estimators': 100}"
Logistic Regression,11,0.9755,0.9747,0.9944,0.9574,"{'C': 5, 'max_iter': 5000}"
Random Forest,11,0.9615,0.9600,0.9972,0.9635,"{'max_depth': 15, 'n_estimators': 300}"
Logistic Regression,12,0.9685,0.9701,0.9968,0.9865,"{'C': 5, 'max_iter': 5000}"
Random Forest,12,0.9615,0.9632,0.9952,0.9351,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,13,0.9790,0.9781,0.9936,0.9781,"{'C': 5, 'max_iter': 5000}"
Random Forest,13,0.9720,0.9697,0.9924,0.9846,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,14,0.9720,0.9726,0.9952,0.9726,"{'C': 5, 'max_iter': 5000}"
Random Forest,14,0.9755,0.9767,0.9926,0.9671,"{'max_depth': 15, 'n_estimators': 100}"
Logistic Regression,15,0.9825,0.9829,0.9942,0.9730,"{'C': 5, 'max_iter': 5000}"
Random Forest,15,0.9650,0.9664,0.9943,0.9664,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,16,0.9790,0.9787,0.9983,0.9787,"{'C': 5, 'max_iter': 5000}"
Random Forest,16,0.9685,0.9686,0.9964,0.9720,"{'max_depth': 15, 'n_estimators': 300}"
Logistic Regression,17,0.9580,0.9556,0.9909,0.9281,"{'C': 5, 'max_iter': 5000}"
Random Forest,17,0.9685,0.9677,0.9964,0.9783,"{'max_depth': 5, 'n_estimators': 300}"
Logistic Regression,18,0.9825,0.9826,0.9993,0.9930,"{'C': 5, 'max_iter': 5000}"
Random Forest,18,0.9615,0.9617,0.9936,0.9787,"{'max_depth': 15, 'n_estimators': 150}"
Logistic Regression,19,0.9825,0.9819,0.9959,0.9714,"{'C': 5, 'max_iter': 5000}"
Random Forest,19,0.9545,0.9541,0.9909,0.9643,"{'max_depth': 5, 'n_estimators': 150}"
Logistic Regression,20,0.9545,0.9544,0.9929,0.9444,"{'C': 5, 'max_iter': 5000}"
Random Forest,20,0.9650,0.9632,0.9939,0.9776,"{'max_depth': 15, 'n_estimators': 300}"
